sno,sna,sarea,lng,lat,2018/8/1-7,2018/8/1-8  ,2018/8/1-9  ,2018/8/1-10  ,2018/8/1-11,2018/8/1-12,2018/8/1-13,2018/8/1-14,2018/8/1-15,2018/8/1-16,2018/8/1-17,2018/8/1-18,2018/8/1-19,2018/8/1-20,2018/8/1-21,2018/8/1-22,2018/8/1-23,2018/8/1-24,2018/8/2-7,2018/8/2-8,2018/8/2-9,2018/8/2-10,2018/8/2-11,2018/8/2-12,2018/8/2-13,2018/8/2-14,2018/8/2-15,2018/8/2-16,2018/8/2-17,2018/8/2-18,2018/8/2-19,2018/8/2-20,2018/8/2-21,2018/8/2-22,2018/8/2-23,2018/8/2-24,2018/8/3-7,2018/8/3-8,2018/8/3-9,2018/8/3-10,2018/8/3-11,2018/8/3-12,2018/8/3-13,2018/8/3-14,2018/8/3-15,2018/8/3-16,2018/8/3-17,2018/8/3-18,2018/8/3-19,2018/8/3-20,2018/8/3-21,2018/8/3-22,2018/8/3-23,2018/8/3-24,2018/8/4-7,2018/8/4-8,2018/8/4-9,2018/8/4-10,2018/8/4-11,2018/8/4-12,,,,,,,,,,,,,,,,,,,,,,,
59,林森公園,中山區,121.525805,25.052227,21,10,1,4,0,3,4,10,10,2,1,4,12,18,11,7,6,13,14,2,1,6,7,8,4,4,4,2,4,11,21,27,15,19,17,11,17,19,17,25,17,20,21,25,18,18,14,21,8,14,26,20,21,15,16,15,13,16,12,18,,,,,,,,,,,,,,,,,,,,,,,
60,中山行政中心,中山區,121.533487,25.064317,12,5,24,19,23,16,10,4,7,8,8,0,7,15,9,13,16,21,6,9,11,5,6,5,6,8,6,3,1,7,8,11,18,3,11,14,22,6,22,17,9,7,2,5,5,7,2,4,9,3,1,0,12,8,11,12,12,14,13,12,,,,,,,,,,,,,,,,,,,,,,,
61,台灣科技大學,大安區,121.539723,25.0131,12,7,9,16,22,3,9,32,29,21,3,21,7,23,19,1,0,2,12,7,10,15,23,11,26,38,26,12,29,0,3,1,4,4,4,9,5,17,9,12,14,12,8,41,42,42,34,15,27,18,6,4,7,16,18,27,24,22,6,6,,,,,,,,,,,,,,,,,,,,,,,
62,南昌公園,中正區,121.520258,25.026827,10,17,11,13,13,15,15,11,11,2,0,31,23,12,14,1,1,15,15,14,20,10,17,15,13,1,21,25,20,8,15,20,17,16,2,0,16,12,9,17,13,8,1,25,24,31,28,19,23,17,5,6,1,1,2,3,12,29,22,20,,,,,,,,,,,,,,,,,,,,,,,
63,仁愛醫院,大安區,121.545632,25.037569,15,24,12,22,20,16,21,28,10,4,16,10,5,10,5,1,7,8,16,24,26,21,22,18,15,23,17,12,9,25,17,0,13,6,5,2,11,22,18,24,14,2,15,17,12,0,15,14,6,3,11,0,0,13,14,25,18,8,15,19,,,,,,,,,,,,,,,,,,,,,,,
64,國家圖書館,中正區,121.517029,25.037773,12,8,32,32,32,32,32,37,48,35,38,29,26,28,8,2,2,1,12,25,30,36,33,33,24,29,29,35,33,16,10,12,1,1,3,4,10,22,42,30,47,32,29,48,36,38,34,29,22,16,28,4,5,7,14,19,28,11,34,31,,,,,,,,,,,,,,,,,,,,,,,
65,青年公園3號出口,萬華區,121.502708,25.022725,13,1,20,16,14,19,24,32,15,14,8,14,10,14,21,3,17,27,13,19,17,14,10,14,17,22,15,19,17,5,12,2,16,4,29,35,15,21,16,11,15,18,18,23,26,26,26,7,6,11,19,10,28,33,25,36,25,17,17,13,,,,,,,,,,,,,,,,,,,,,,,
66,師範大學公館校區,文山區,121.537188,25.007528,15,26,24,24,22,6,7,7,12,20,34,26,18,26,15,34,1,9,17,23,24,17,28,26,21,25,25,33,21,12,17,27,37,28,28,9,20,14,19,12,16,24,30,30,30,26,24,23,15,18,15,14,29,32,15,9,9,3,19,19,,,,,,,,,,,,,,,,,,,,,,,
67,捷運臺大醫院(4號出口),中正區,121.516428,25.042973,25,8,15,20,14,15,20,35,30,27,25,33,30,20,27,3,1,0,17,9,11,22,19,17,26,26,33,34,46,42,32,34,23,24,2,15,13,6,17,30,14,16,18,17,26,35,39,45,30,20,5,25,3,7,26,24,31,22,17,20,,,,,,,,,,,,,,,,,,,,,,,
68,國興青年路口,萬華區,121.506536,25.025865,19,3,8,12,14,15,19,16,11,11,5,25,19,11,3,14,21,28,30,25,25,32,21,11,12,17,21,20,4,1,9,11,10,0,14,23,26,18,7,10,13,10,13,11,16,18,19,15,12,24,15,7,16,26,28,19,22,26,22,23,,,,,,,,,,,,,,,,,,,,,,,
