sno,sna,sarea,lng,lat,307,308,309,310,311,312,313,314,315,316,317,318
183,圓環站,大同區,121.514179,25.05379,29,20,14,12,5,7,9,6,11,9,7,4
184,劍潭社區,中山區,121.537892,25.084759,28,27,23,21,20,21,22,20,19,17,19,18
185,?公公園,大安區,121.54605,25.042342,16,8,7,2,4,7,5,8,5,7,6,9
186,臺北市立大學,中正區,121.514218,25.035414,30,42,53,56,57,54,40,30,29,43,38,45
187,仁愛延吉街口,大安區,121.555769,25.037465,10,21,20,25,14,14,17,12,5,6,11,10
188,社子國小,士林區,121.50189,25.090293,35,30,34,32,31,30,32,33,33,24,21,16
189,金瑞公園(金龍路),內湖區,121.58781,25.087987,22,18,12,12,6,4,4,8,4,7,5,12
190,捷運大直站(3號出口),中山區,121.546683,25.079278,5,12,4,1,1,1,3,5,4,0,1,10
191,捷運大湖公園站(2號出口),內湖區,121.60206,25.083873,13,13,11,10,10,11,9,10,6,5,6,8
192,捷運葫洲站(1號出口),內湖區,121.607955,25.072485,11,7,8,10,13,13,11,11,10,15,15,10
193,舊莊區民活動中心,南港區,121.61935,25.041277,17,9,8,12,13,10,9,3,8,7,7,9
194,市民林森路口,中山區,121.524388,25.047958,36,39,39,42,34,30,32,39,39,41,38,22
195,信義杭州路口(中華電信總公司),中正區,121.523987,25.035851,14,15,35,31,25,15,15,25,29,31,32,8
196,新湖國小,內湖區,121.589233,25.068744,10,11,9,7,7,5,3,1,3,3,3,1
197,饒河夜市(八德路側),松山區,121.571885,25.049845,23,17,16,14,12,15,15,16,16,15,19,24
201,東陽公園,南港區,121.597924,25.057164,12,15,21,24,20,19,20,16,14,22,19,22
202,捷運關渡站,北投區,121.467336,25.124646,29,27,31,20,15,8,5,2,1,16,18,11
203,古亭國中,萬華區,121.51057,25.024487,19,18,10,9,7,2,11,12,11,11,3,3
204,臺北市立大學(天母校區),士林區,121.53742,25.113625,27,25,20,22,16,20,13,15,17,12,6,2
205,木柵光輝路口,文山區,121.55561,24.988241,11,9,8,13,10,9,11,12,12,14,14,13
206,捷運辛亥站,文山區,121.55716,25.005386,3,7,11,13,17,16,19,21,14,15,9,10
207,福安國中,士林區,121.487477,25.103242,5,6,7,7,7,7,6,6,1,1,4,3
208,龍山國小,萬華區,121.495342,25.035555,21,16,12,13,10,11,9,7,8,7,3,6
209,捷運復興崗站,北投區,121.486071,25.137837,10,7,12,17,17,20,18,16,15,17,22,25
210,樂群二敬業四路口,中山區,121.558135,25.079766,33,27,21,39,43,34,28,13,13,18,23,30
211,星雲金湖街口,內湖區,121.597339,25.080915,19,11,6,5,5,2,1,1,15,15,11,8
212,北安大直街口,中山區,121.549452,25.084223,24,20,24,23,21,23,21,22,22,21,23,28
213,蘭雅國小,士林區,121.523107,25.107782,11,12,1,4,5,0,5,7,9,7,6,8
214,基河一期國宅,內湖區,121.578645,25.055935,11,8,13,12,10,11,10,10,5,5,9,6
215,捷運北門站(3號出口),大同區,121.510367,25.04993,45,39,27,28,31,35,27,39,38,35,33,5
216,培英公園,中山區,121.544601,25.082553,27,40,44,43,30,27,24,26,40,39,39,26
217,臺北花市,內湖區,121.574267,25.062645,16,21,29,38,24,22,23,24,24,23,28,26
218,松山高中,信義區,121.564108,25.043299,0,0,0,0,0,0,0,0,0,0,0,0
219,大理高中,萬華區,121.49074,25.031147,13,35,30,29,30,18,16,12,10,7,16,3
220,大稻埕公園,大同區,121.510512,25.059162,27,8,20,17,19,9,9,5,2,5,1,5
221,泰和公園,信義區,121.57107,25.019276,25,17,12,13,6,10,6,6,2,1,6,15
222,撫順公園,中山區,121.522065,25.064108,7,13,12,13,21,24,11,9,13,16,4,0
223,清江國小,北投區,121.507267,25.1274,16,1,29,27,24,13,6,4,5,0,2,1
224,社正公園,士林區,121.510535,25.088243,28,24,22,20,20,10,13,13,14,15,17,12
225,臥龍樂業街口,大安區,121.554839,25.0186,19,24,14,14,9,21,21,19,7,8,11,20
226,向陽南港路口,南港區,121.594228,25.054365,4,16,24,10,11,10,8,21,21,20,14,24
227,麗山高中,內湖區,121.57668,25.084244,29,34,27,17,18,17,15,19,20,14,9,9
228,捷運萬芳社區站,文山區,121.567474,24.998956,21,21,19,15,16,16,17,17,17,15,17,14
229,市民太原路口,大同區,121.514611,25.049394,12,17,3,2,3,9,9,11,10,9,6,4
230,湖光國宅,內湖區,121.580811,25.075366,24,15,11,5,5,3,4,6,7,7,14,14
231,內政部營建署,松山區,121.545022,25.047805,14,24,17,35,28,24,23,28,30,15,18,9
232,中山天母路口,士林區,121.529738,25.118843,10,0,1,4,7,7,10,10,10,6,4,1
233,捷運忠義站,北投區,121.474155,25.131411,14,14,13,13,14,13,13,13,11,13,15,12
234,永欣綠地,北投區,121.526071,25.124162,31,28,24,20,16,17,16,15,16,18,14,14
235,市民東興路口,松山區,121.565928,25.04846,5,6,11,17,7,14,14,3,5,5,11,24
236,關渡自然公園,北投區,121.469138,25.119292,22,15,7,8,5,5,7,5,3,2,0,3
237,文山第二行政中心,文山區,121.551418,25.001149,21,8,16,20,16,14,11,11,11,12,12,13
238,瑞湖陽光街口,內湖區,121.575965,25.073119,4,4,18,4,8,3,1,14,19,16,5,17
239,新明路321巷口,內湖區,121.584098,25.056687,9,13,14,11,10,9,9,9,13,11,13,12
240,南京建國路口,中山區,121.536802,25.052141,16,25,55,17,26,23,22,22,16,41,42,54
241,林口公園,信義區,121.579146,25.038943,23,25,6,24,23,17,22,28,12,7,18,20
242,關渡宮,北投區,121.463161,25.117472,4,2,0,1,0,1,1,1,2,0,1,0
243,社子公園,士林區,121.506219,25.090202,14,6,4,3,4,4,3,6,3,2,6,10
244,復興市民路口,中山區,121.543736,25.045908,18,14,32,39,16,19,23,30,34,32,37,28
245,捷運中山國中站,中山區,121.544028,25.060632,6,24,4,8,7,6,0,1,0,11,20,4
